gene_id,gene_name,log2FC_3mo,log2FC_18mo,qvalue_18mo,sig_at_18mo,direction_18mo
ENSDARG00000032389,tspan12,-0.0745,0.7472,0.003151,False,not_significant
ENSDARG00000034326,ing3,-0.0826,0.0314,0.382059,False,not_significant
ENSDARG00000045747,cped1,-0.2833,0.7044,0.018266,False,not_significant
ENSDARG00000094973,wnt16,-0.1065,2.3115,0.008008,True,up_in_MUT
ENSDARG00000045748,stab2,-0.4805,2.4915,,False,not_significant
ENSDARG00000095446,CR383662.3,-0.4819,-0.4085,0.342106,False,not_significant
ENSDARG00000045749,ppfibp1a,-0.549,0.277,0.319264,False,not_significant
ENSDARG00000092989,si_ch211-161n3.3,-0.8512,0.0182,0.405827,False,not_significant
ENSDARG00000045753,tmtc2a,0.2044,-0.6762,0.249392,False,not_significant
ENSDARG00000045754,mettl25,0.0954,-0.3037,0.258951,False,not_significant
ENSDARG00000045755,ccdc59,0.4726,0.1637,0.352551,False,not_significant
ENSDARG00000096083,si_dkey-21h14.8,0.0795,0.2766,0.275573,False,not_significant
ENSDARG00000094603,si_dkey-21h14.12,0.2292,0.2843,0.371545,False,not_significant
ENSDARG00000096153,si_dkey-21h14.9,-0.4696,-1.7526,0.152028,False,not_significant
ENSDARG00000001781,tspan11,0.5656,-0.0091,0.405564,False,not_significant
ENSDARG00000019235,sema3aa,-0.3504,0.6013,0.022815,False,not_significant
ENSDARG00000063299,pcloa,1.0481,-5.2452,0.0,True,down_in_MUT
ENSDARG00000003822,ankrd16,-0.0843,-1.3536,0.168101,False,not_significant
ENSDARG00000005451,gdi2,0.1392,-0.5276,0.323357,False,not_significant
ENSDARG00000079698,asb13a.1,-0.844,1.8124,0.055958,False,not_significant
ENSDARG00000045765,asb13a.2,0.4557,-0.8476,0.298173,False,not_significant
ENSDARG00000032765,net1,-0.1888,0.2036,0.200041,False,not_significant
ENSDARG00000025576,mkln1,0.2484,0.0638,0.34949,False,not_significant
ENSDARG00000031228,podxl,-0.2241,0.4247,0.069861,False,not_significant
ENSDARG00000005891,cyb5r3,-0.0078,0.5492,0.073504,False,not_significant
ENSDARG00000063255,btbd11a,0.4781,-0.479,0.157954,False,not_significant
ENSDARG00000045768,cry1a,-0.1436,0.9508,0.000191,False,not_significant
ENSDARG00000032242,tnnt2c,-0.213,1.8783,0.069791,False,not_significant
ENSDARG00000058366,si_dkey-222f8.3,-0.3206,0.4906,0.144084,False,not_significant
ENSDARG00000017661,braf,-0.2245,0.0594,0.37644,False,not_significant
ENSDARG00000020015,mrps33,-0.084,0.4363,0.117784,False,not_significant
ENSDARG00000006747,tmem178b,0.0563,-0.2682,0.296604,False,not_significant
ENSDARG00000007639,cnot4b,0.0319,0.4518,0.084117,False,not_significant
ENSDARG00000041665,mkrn1,-0.595,1.0553,0.016799,True,up_in_MUT
ENSDARG00000019396,rergla,-0.0275,-2.4126,0.006592,True,down_in_MUT
ENSDARG00000013476,arhgef39,1.4888,-4.5734,0.0,True,down_in_MUT
ENSDARG00000032618,mgst1.1,-0.124,-0.2594,0.38156,False,not_significant
ENSDARG00000022165,mgst1.2,-0.2324,0.3895,0.288326,False,not_significant
ENSDARG00000005897,dera,0.4672,-0.1256,0.342487,False,not_significant
