gene_id,gene_name,q1_log2FC,q1_sig,q2_log2FC,q2_sig,direction,tf_family,biotype
ENSDARG00000078180,sc_d0202,-3.372,0.005695205508076,6.967,0.0023026658937325,OPPOSITE,-,protein_coding
ENSDARG00000103308,mst1,-2.721,0.0059972153101712,5.914,0.0001052933591198,OPPOSITE,-,protein_coding
ENSDARG00000016081,cldn15la,-3.16,0.006178367507626,5.699,0.0042558240261721,OPPOSITE,-,protein_coding
ENSDARG00000063059,abcg8,-5.089,0.0061953723797168,8.193,0.015684091629104,OPPOSITE,-,protein_coding
ENSDARG00000020738,zgc_153921,-3.511,0.0063812145964263,9.135,2.257665402672485e-05,OPPOSITE,-,protein_coding
ENSDARG00000040747,tm4sf4,-2.067,0.0064437697937174,4.77,0.0002628166531655,OPPOSITE,-,protein_coding
ENSDARG00000030872,cetp,-3.465,0.0069365053668273,9.245,1.8505445024797624e-06,OPPOSITE,-,protein_coding
ENSDARG00000100406,zgc_112265,-2.427,0.0074308851299649,7.022,0.0001245585925169,OPPOSITE,-,protein_coding
ENSDARG00000041848,rh50,-3.272,0.0080378428959019,7.823,0.0256816004248798,OPPOSITE,-,protein_coding
ENSDARG00000101423,cyp2y3,-2.081,0.0091205127865134,3.859,0.0008127110364034,OPPOSITE,-,protein_coding
ENSDARG00000011693,ttc36,-2.829,0.0092269498700312,6.515,0.0156666547269968,OPPOSITE,-,protein_coding
ENSDARG00000102175,hamp,-2.174,0.0094990838124979,4.563,0.0206255712935746,OPPOSITE,-,protein_coding
ENSDARG00000032098,c8g,-3.374,0.0095350710644697,9.685,0.0174242620003515,OPPOSITE,-,protein_coding
ENSDARG00000097504,CR626907.3,-4.33,0.0095359447797773,8.635,7.988835452013538e-06,OPPOSITE,-,unprocessed_pseudogene
ENSDARG00000102888,gpr39,-2.553,0.0097390479586179,5.146,4.797754824229108e-05,OPPOSITE,-,protein_coding
ENSDARG00000021573,slc16a7,-2.791,0.00985113315865,6.215,9.013161330250596e-05,OPPOSITE,-,protein_coding
