,q1_activity,q1_pval,age_activity,age_pval,sig_q1,sig_age,sig_both,same_direction
EN1,0.6113896197115839,0.8116695880889893,0.3304430010475278,0.9237741827964783,False,False,False,True
BARX2,0.6139345543872007,0.8116695880889893,-0.3012493416947113,0.9306084513664246,False,False,False,False
HAND1,0.6209282624566076,0.8116695880889893,-0.4629323051856055,0.8928579092025757,False,False,False,False
PBRM1,0.621212605491926,0.8116695880889893,-0.9404683693517992,0.7351542115211487,False,False,False,False
PLAGL1,0.6267524103372818,0.8111763596534729,-2.4494604194089105,0.14699038863182068,False,False,False,False
KDM5B,0.6312244940070049,0.8098406195640564,-1.0996834031589333,0.6695696115493774,False,False,False,False
USF2,0.6438783817388634,0.8024259209632874,3.566577352525182,0.010834531858563423,False,True,False,True
VEZF1,0.6532599040537433,0.798132061958313,0.9636638578071969,0.7244336009025574,False,False,False,True
YAP1,0.6581262697716962,0.7953281402587891,-0.19957225704013795,0.9538784027099609,False,False,False,False
FOXL2,0.6590402136603739,0.7953281402587891,1.2192923788499745,0.6320449113845825,False,False,False,True
ZIC1,0.6682047865888221,0.7887941598892212,0.8661452446246538,0.759790301322937,False,False,False,True
ZNF335,0.6722352668038947,0.7865373492240906,2.528503236857994,0.12313353270292282,False,False,False,True
TCF12,0.6758203288185786,0.7865373492240906,-1.3350578882158612,0.5825715065002441,False,False,False,False
TFAP2D,0.6939452391965365,0.7737152576446533,-1.9569313697235464,0.33646413683891296,False,False,False,False
BACH1,0.6990497222845373,0.7723298072814941,-1.7495297723646903,0.408726304769516,False,False,False,False
DLX3,0.704402141493591,0.7703531980514526,-0.1089785449940414,0.9714920520782471,False,False,False,False
SOX17,0.7152839089389844,0.7631797790527344,-0.2911953330044965,0.9358134865760803,False,False,False,False
LMX1B,0.7185118496912272,0.7631797790527344,-1.4879168281066661,0.5157152414321899,False,False,False,False
ZNF91,0.7219354377882732,0.7631797790527344,-0.2163806557800379,0.95013827085495,False,False,False,False
FEZF1,0.7274033938868218,0.7615894675254822,-0.6493227557675397,0.822526216506958,False,False,False,False
CTBP2,0.737143184783155,0.7536575794219971,-1.59495222410561,0.4801326394081116,False,False,False,False
RBPJ,0.7442977562138245,0.7500784397125244,0.16142436632212878,0.9714920520782471,False,False,False,True
