,activity,pval
PHOX2B,0.9138420034870948,0.7517910003662109
ISL1,0.903805052305027,0.7558191418647766
PRDM4,0.8999486279828464,0.7558191418647766
PAWR,0.8941141277893402,0.7564019560813904
GLIS3,0.8855393153642074,0.7564019560813904
MAX,0.8852580731813263,0.7564019560813904
ZNF331,0.883052964881837,0.7566155195236206
NOTO,0.8694394452604619,0.759790301322937
CDX1,0.8669639998926568,0.759790301322937
NR0B1,0.8664110123955924,0.759790301322937
ZIC1,0.8661452446246538,0.759790301322937
UBTF,0.8539549692761225,0.7673507332801819
GSC,0.8528208917895252,0.7673507332801819
RORA,0.8503650293482031,0.7673507332801819
MSX1,0.8404337206224405,0.7704545259475708
GABPA,0.8283181083112201,0.7793751358985901
PAX9,0.8213043467805399,0.7826116681098938
BATF,0.8151729940193452,0.7871240377426147
HOXA5,0.8075469853847708,0.7884209752082825
SIX3,0.7925967630316408,0.7898380756378174
SPIB,0.7861022810961534,0.7898380756378174
NKX3-2,0.7840661883513442,0.7898380756378174
HES6,0.7814973278600362,0.7898380756378174
NPAS4,0.7691650900437038,0.7989190816879272
CREB5,0.7603676970764991,0.8015767335891724
DOT1L,0.7491715198480807,0.8015767335891724
THRA,0.7489007495924684,0.8015767335891724
ZNF143,0.7452565126325791,0.8015767335891724
PKNOX1,0.7435629633580488,0.8015767335891724
YBX1,0.7422764391416714,0.8015767335891724
TCF7,0.742053745770406,0.8015767335891724
DNMT1,0.73293046411344,0.8015767335891724
FOXC2,0.7323797547421433,0.8015767335891724
AHRR,0.7263038005417154,0.8021367788314819
SMARCA5,0.7234124417193531,0.8021367788314819
FOXN1,0.721818611940998,0.8021367788314819
KLF15,0.7165575728224242,0.8024625778198242
HOXA2,0.7127214156709514,0.8026222586631775
TBXT,0.7123273525179422,0.8026222586631775
E2F5,0.7045886356675461,0.8071945905685425
GLI2,0.6877093517467792,0.817372739315033
ZFHX3,0.6857536442318167,0.817372739315033
TTF1,0.6855644560459199,0.817372739315033
E2F6,0.6817483807862253,0.8175334334373474
NR5A1,0.6816294107604336,0.8175334334373474
IKZF1,0.6754385108530093,0.8175334334373474
TBX20,0.6711668250081874,0.8175334334373474
HOXD1,0.670631889337794,0.8175334334373474
ASCL2,0.666200564811124,0.8202223777770996
HDAC1,0.6576443426552768,0.8203807473182678
ZBTB18,0.6518642383370512,0.822526216506958
TFAP2B,0.6435223296215373,0.8266234993934631
HOXA10,0.6343709355631207,0.8325351476669312
HLX,0.6331181833110116,0.8325351476669312
ARID4B,0.6323139452315998,0.8325351476669312
RXRB,0.6252959278891338,0.8360085487365723
SON,0.6172765775082381,0.838635265827179
MTF2,0.6142171141101487,0.8399097323417664
IRF6,0.6063010831834331,0.8461894392967224
SMAD4,0.6010201298379132,0.8478717803955078
MYOCD,0.58371038331883,0.8599516749382019
MAFB,0.5824760431558605,0.8599516749382019
SIX1,0.5820095529378932,0.8599516749382019
FEZF2,0.579127103718784,0.8610401153564453
YBX3,0.5632569121103105,0.8736727833747864
FOSB,0.5536788316969729,0.8747797608375549
TGIF1,0.5531158149305432,0.8747797608375549
