,activity,pval
TSC22D1,0.9913392169757331,0.644940197467804
NR0B1,0.9893399503168888,0.644940197467804
DMTF1,0.9781292596704749,0.65231853723526
KAT6A,0.9756302530270897,0.652918815612793
POU2F1,0.9733148616670704,0.6533412933349609
SIRT1,0.9654168679674741,0.6588180065155029
NFIA,0.9639828964365081,0.6588180065155029
HOXD13,0.9608618965640399,0.6600399017333984
BHLHA15,0.9568195858971263,0.660394012928009
NR1H3,0.9550694978186868,0.660394012928009
HOXB5,0.9548533684495589,0.660394012928009
GFI1,0.9527583125911293,0.660394012928009
ZNF354C,0.9476526998194789,0.6619887351989746
PRDM1,0.9421425826813904,0.6637461185455322
HOXA9,0.9343895416351766,0.6652656197547913
SALL2,0.9338693059785292,0.6652656197547913
MLXIP,0.9331846200741736,0.6652656197547913
RARB,0.92425185196436,0.6722215414047241
FOXF2,0.9159045202958155,0.6786328554153442
RB1,0.907537429313686,0.6837133169174194
MBD2,0.9029543567545971,0.6837133169174194
NR2C2,0.9020251539038645,0.6837133169174194
SOX5,0.9009965756441137,0.6837133169174194
HNF4G,0.9004548584492229,0.6837133169174194
MBD1,0.8962242164123368,0.6837133169174194
CDX2,0.895762612556145,0.6837133169174194
AEBP1,0.8941787375830687,0.6837133169174194
FOXP1,0.8906719603787404,0.6837882995605469
FOXO4,0.8904398616891642,0.6837882995605469
MYT1,0.8886224698837567,0.6837882995605469
NEUROG2,0.8783287564486192,0.690331757068634
NFE2L1,0.8739743815328512,0.6928296089172363
ARX,0.8688335450086003,0.6961085796356201
MECP2,0.8575938810951806,0.703635036945343
TBX15,0.8530166731169534,0.7063716650009155
FEZF2,0.8465448413174177,0.707037627696991
PPARG,0.8461927205628159,0.707037627696991
GTF3A,0.8450675139374029,0.707037627696991
HNF4A,0.8261681618967985,0.7222509384155273
NR0B2,0.8238231809257178,0.7227736711502075
ZNF76,0.8099940840649561,0.7308993339538574
HOXB7,0.8084372964250833,0.7308993339538574
KDM5A,0.8036436715262444,0.7320618629455566
RORA,0.7920718189884218,0.7365642786026001
HOXD1,0.7903672401511564,0.7365642786026001
EBF3,0.7880583019013669,0.7365642786026001
MSX1,0.786306720901499,0.7365642786026001
TBX5,0.7846999519190259,0.7365642786026001
PURA,0.782886875281147,0.7365642786026001
NR2F2,0.7768032426594804,0.7381736636161804
TWIST2,0.7767187392226059,0.7381736636161804
KLF4,0.7758899001839493,0.7381736636161804
CREB5,0.7599500074787,0.7466331720352173
OVOL1,0.7598611264871968,0.7466331720352173
HSF2,0.7566660437259387,0.7466331720352173
KLF1,0.75160223634983,0.7483651638031006
NPM1,0.746026383156312,0.7500784397125244
PAX5,0.7449039337375716,0.7500784397125244
RBPJ,0.7442977562138245,0.7500784397125244
CTBP2,0.737143184783155,0.7536575794219971
FEZF1,0.7274033938868218,0.7615894675254822
ZNF91,0.7219354377882732,0.7631797790527344
LMX1B,0.7185118496912272,0.7631797790527344
SOX17,0.7152839089389844,0.7631797790527344
DLX3,0.704402141493591,0.7703531980514526
BACH1,0.6990497222845373,0.7723298072814941
TFAP2D,0.6939452391965365,0.7737152576446533
TCF12,0.6758203288185786,0.7865373492240906
ZNF335,0.6722352668038947,0.7865373492240906
ZIC1,0.6682047865888221,0.7887941598892212
FOXL2,0.6590402136603739,0.7953281402587891
YAP1,0.6581262697716962,0.7953281402587891
VEZF1,0.6532599040537433,0.798132061958313
