source,target,mor,target_stat
ESR1,RAC1,1.0,3.992575396774828
MYB,RAG2,1.0,-5.997159620591384
TP53,TNF,1.0,2.941879845906474
CREB1,AGT,1.0,-3.1403708066699907
RELA,IL1B,1.0,3.2461824392939853
SPI1,SPI1,1.0,3.192810585510937
STAT3,CEBPB,1.0,3.709366240694985
STAT3,TGFB1,1.0,3.022154808637843
MYB,MAT2A,1.0,2.791143890891142
TP53,HRAS,1.0,-2.2774291140518197
STAT1,COL1A2,1.0,3.4818647675982857
STAT1,TNFRSF10B,1.0,3.243721648061006
SMAD1,TNFSF11,1.0,2.1559243471146337
JUN,IL1B,1.0,3.2461824392939853
CEBPB,NF1,1.0,-4.22815962749997
ESR1,TGFA,1.0,-2.183150275034285
CREB1,GALR1,1.0,-2.698729851525776
TP53,CHEK1,-1.0,-8.925661230260802
JUN,TPSD1,1.0,-5.649846996936003
E2F4,DHFR,-1.0,-4.890353463827325
SP1,DHFR,1.0,-4.890353463827325
TFDP1,DHFR,1.0,-4.890353463827325
STAT3,MCL1,1.0,2.7933113482826646
MEF2C,MAPK7,1.0,-2.521441339087685
CREB1,CCNA2,-1.0,-7.72999844065542
AR,CREBBP,1.0,-2.7490730345206087
SP1,POLDIP3,1.0,-3.966725598515203
EGR1,COL1A2,1.0,3.4818647675982857
ESR1,HSPB1,1.0,2.457998379496795
CREB1,NF1,1.0,-4.22815962749997
JUN,AKT1,1.0,2.345211714691306
JUN,EPHB2,1.0,-5.297389676757354
SP1,PARK7,1.0,2.9934499858156896
SP1,CCNA2,-1.0,-7.72999844065542
SPI1,CYBB,1.0,2.476915740960619
CEBPB,APOB,1.0,-3.3931722975288525
STAT6,TNF,-1.0,2.941879845906474
SP1,MAOB,1.0,2.2790374366950075
FOS,CD69,1.0,3.8997397890756753
FOXO3,AKT1,1.0,2.345211714691306
ETS1,COL1A2,1.0,3.4818647675982857
STAT3,HGF,1.0,-2.7741340955428404
JUN,PTPN6,1.0,2.4992689164358093
SRF,TAGLN,1.0,4.4519625470378035
SMAD3,AR,1.0,3.159246454108278
RUNX1,CEBPA,1.0,4.421536560150719
SP1,SLC9A2,1.0,-3.2529911499247883
SP1,TKT,1.0,-4.135642432536702
ATF4,SCG2,-1.0,-2.2911635764151095
ATF4,PENK,1.0,3.630667168029536
SP1,P2RX4,-1.0,-2.0213106308629785
TP53,DNMT1,-1.0,-3.703520576842202
E2F1,RPA2,1.0,-4.135663289114975
TP53,HFM1,1.0,-5.831238625511345
JUN,CYP11A1,1.0,-2.567637075579284
SP1,CES1,1.0,-4.146378034916907
RARA,ADA,1.0,2.9413469770561287
SP1,COL1A1,-1.0,3.443186665818423
SP1,COL5A2,1.0,3.8375176684008294
REL,TNF,1.0,2.941879845906474
SMAD1,MYH7,1.0,-2.6837883225749013
ESR1,ADA,1.0,2.9413469770561287
IRF1,SLC22A6,1.0,-2.638219262792119
IRF1,IL1B,1.0,3.2461824392939853
SP1,FASN,1.0,-4.17136223001874
ATF2,SFTPB,-1.0,3.13210155475697
CREB1,SFTPB,-1.0,3.13210155475697
SP1,GDA,1.0,-4.15445950220809
TP53,NKX3-1,-1.0,-4.715653318952933
TP53,TBPL1,1.0,-3.328515079738985
SP1,POLD1,1.0,-6.018937220202517
TP53,POLD1,-1.0,-6.018937220202517
E2F1,APAF1,1.0,-3.47979840800418
TP53,APAF1,1.0,-3.47979840800418
EGR1,INS,1.0,-3.1429458172706743
ESR1,CD44,1.0,2.8811164317084033
SPI1,ACP5,1.0,-2.9007169808875077
SPI1,TNFSF11,1.0,2.1559243471146337
SP1,MAT2A,1.0,2.791143890891142
ZBTB16,MAT2A,1.0,2.791143890891142
TP53,DAB2,1.0,4.367125395784896
SP1,KNTC1,1.0,-6.578312075856036
SP1,COL2A1,1.0,3.2254020405751813
HIF1A,INS,1.0,-3.1429458172706743
SP1,PTMA,1.0,-3.699363718892213
RELA,IKBKB,1.0,-2.149886546812551
SP1,IFNGR1,1.0,-7.250200804077198
NFAT5,TNF,1.0,2.941879845906474
MYB,AKT1,1.0,2.345211714691306
EGR2,GJB1,1.0,2.2339521817787924
SP1,CYP3A4,1.0,-5.486499960771375
SP1,CYP3A7,1.0,-5.486499960771375
FOS,WEE1,1.0,-4.162639338276095
TP53,AR,-1.0,3.159246454108278
JUN,AR,-1.0,3.159246454108278
AR,JUN,1.0,3.396546800075237
TP53,HIPK2,1.0,3.1631243458586717
MYOD1,ATP9B,1.0,-5.271926726250817
SP1,HRAS,1.0,-2.2774291140518197
RUNX1,CREBBP,1.0,-2.7490730345206087
SP1,MMP28,1.0,-3.104813411913596
SP1,PAX6,1.0,-5.171696081334958
RARA,RB1,1.0,-3.3596036438931587
ETS1,OPRD1,1.0,-2.3405896803589505
TP63,CDK1,-1.0,-6.596641118498787
TP63,JAG2,1.0,2.7832618092445354
TP53,TGFA,1.0,-2.183150275034285
SP1,OPRM1,1.0,-2.1631537259200964
FOS,APP,1.0,3.9224812784918974
JUN,APP,1.0,3.9224812784918974
SPI1,SOCS3,1.0,3.3774192114124952
SP1,FABP6,1.0,-4.316483407637937
FOS,CHRNA2,1.0,-2.5004234555749414
TP53,BIRC5,-1.0,-8.91958892077433
FOS,ESR1,1.0,-2.4381889131823837
ESR1,SPI1,1.0,3.192810585510937
SPI1,ESR1,1.0,-2.4381889131823837
FOS,JUN,1.0,3.396546800075237
JUN,MITF,1.0,3.0798677813339124
HIF1A,PFKFB3,1.0,3.9153472202617694
EGR2,MPZ,1.0,3.2978642084798
ETS1,NR2F1,1.0,-3.4513963490540225
STAT3,SFTPB,1.0,3.13210155475697
SP1,IL1B,1.0,3.2461824392939853
TP53,KLK3,-1.0,-2.5342249597472484
TP53,MMP2,1.0,3.059795577702193
ESR1,NME1,1.0,3.368263387891873
SPI1,IRF8,1.0,2.643376952496637
SPI1,DAB2,1.0,4.367125395784896
SP1,SLC9A3,1.0,3.129435114595375
SP1,TYMS,1.0,-5.039940289592766
STAT3,HBG1,-1.0,-2.9677654517487757
E2F1,MCL1,-1.0,2.7933113482826646
TP53,MCL1,-1.0,2.7933113482826646
CREB1,CYP11A1,1.0,-2.567637075579284
CEBPB,CSF1R,1.0,2.611726001537227
HSF1,CSF1R,-1.0,2.611726001537227
EGR1,DMRT1,1.0,-2.738012834331955
SP1,DMRT1,1.0,-2.738012834331955
TP53,TAC1,1.0,-2.920361480187039
E2F1,FSHR,1.0,-2.358371769280858
E2F4,FSHR,1.0,-2.358371769280858
AR,CHRM5,1.0,-2.3963117786704777
ESR1,LIPC,1.0,-2.236512841282014
E2F4,MCL1,-1.0,2.7933113482826646
JUN,FTH1,1.0,3.7965176940000473
NFATC1,TNF,1.0,2.941879845906474
BCL6,CCNA2,-1.0,-7.72999844065542
SP1,AEBP1,1.0,3.9215988871658647
TP53,XRCC5,1.0,-2.857674745961832
MYOD1,AKT2,1.0,4.0808525021305835
MEF2A,AKT2,1.0,4.0808525021305835
MYOG,AKT2,1.0,4.0808525021305835
SP1,AXL,1.0,3.503754003282627
TP53,CD74,1.0,3.67163172498388
EGR1,MAOB,1.0,2.2790374366950075
JUN,MAOB,1.0,2.2790374366950075
SPI1,SETDB1,1.0,-4.068206334056744
TP53,DDB2,1.0,-2.3210702795773854
MYB,IGFBP5,1.0,3.550489574226286
TP53,IRF5,1.0,-2.3342667188581405
CREB1,RRM2,1.0,-5.408564615554541
SP1,RRM2,1.0,-5.408564615554541
CREB1,TAGLN,1.0,4.4519625470378035
YBX1,MMP2,1.0,3.059795577702193
IRF1,TAT,1.0,-2.3668617247279817
SPI1,RAG2,1.0,-5.997159620591384
FOXO3,INS,1.0,-3.1429458172706743
RARA,SPI1,1.0,3.192810585510937
ETS1,MMP3,1.0,3.2523170407473603
ETS1,MMP2,1.0,3.059795577702193
SP1,GC,1.0,-3.4018507709393875
ATF4,TNF,1.0,2.941879845906474
FOS,TNF,1.0,2.941879845906474
SP1,PNOC,1.0,-4.835944543687622
AR,AKT1,1.0,2.345211714691306
STAT6,FCER2,1.0,-3.2371952564795503
SP1,DNMT1,1.0,-3.703520576842202
JUN,SNCG,1.0,3.9863801492007567
SP1,PPP2CA,1.0,3.420531025208551
TP53,TNFRSF11A,1.0,3.243721648061006
TP53,CASP6,1.0,-2.5705153757602965
SP1,MMP14,-1.0,3.835413434787864
MYB,AR,1.0,3.159246454108278
SMAD4,APP,1.0,3.9224812784918974
JUN,NCAM1,1.0,-2.582276686210248
JUN,SLC10A1,1.0,-2.939438947345294
AR,FOXN1,1.0,-5.098020345790235
STAT3,KLK3,1.0,-2.5342249597472484
CREB1,CARTPT,1.0,-5.202105037816719
JUNB,CCNA2,1.0,-7.72999844065542
CLOCK,TTF1,1.0,-5.509499073412737
TP53,APP,1.0,3.9224812784918974
RARA,IL1B,1.0,3.2461824392939853
TP53,ATF3,1.0,4.459327535450048
SMAD3,SFTPB,-1.0,3.13210155475697
TP53,NFYA,1.0,-2.6239273395526155
SP1,AGXT,1.0,-2.3599024271860993
SP1,CREBBP,1.0,-2.7490730345206087
SMAD3,FN1,1.0,3.453844507751022
FOS,NOTCH2,1.0,-3.8152484624693073
FOS,COL10A1,1.0,4.3750417400774815
SP1,H1-6,1.0,-4.074480363604388
ATF2,CEBPB,1.0,3.709366240694985
JUN,CEBPB,1.0,3.709366240694985
NFKB1,IRF4,1.0,-2.4435854312939593
STAT1,COL2A1,1.0,3.2254020405751813
MYOD1,NF1,1.0,-4.22815962749997
TFAP4,NF1,1.0,-4.22815962749997
ESR1,TNF,1.0,2.941879845906474
TP53,XPC,1.0,-3.970324641135649
STAT1,IFI27,1.0,-3.5750583811633394
CREB1,TNFSF11,1.0,2.1559243471146337
HIF1A,NT5E,1.0,3.0392099391935923
JUN,SPARC,1.0,2.9408689625183353
ESR1,GRIN2D,1.0,-4.004765566240477
ESR1,G6PC1,1.0,2.4166717846933956
SP1,ADIPOQ,1.0,2.519095239519067
JUN,COL1A2,1.0,3.4818647675982857
TP53,INS,1.0,-3.1429458172706743
CEBPB,CHAT,1.0,-2.1659954266094044
MYB,CHAT,1.0,-2.1659954266094044
STAT3,BIRC5,1.0,-8.91958892077433
CLOCK,BHLHE40,1.0,3.716520427155257
TP53,PTTG1,-1.0,-5.465228926751598
SP1,PTTG1,1.0,-5.465228926751598
STAT1,TNF,1.0,2.941879845906474
STAT1,CREBBP,1.0,-2.7490730345206087
E2F2,CDC6,1.0,-5.5796901259824665
E2F3,CDC6,1.0,-5.5796901259824665
E2F1,CDC6,1.0,-5.5796901259824665
BCL6,RBBP7,1.0,-4.3835431687918485
SP1,DBF4,1.0,-7.611590566483865
NFKB1,IL1RN,1.0,3.2461824392939853
RELA,IL1RN,1.0,3.2461824392939853
SPI1,IL1RN,1.0,3.2461824392939853
MYB,COL1A2,1.0,3.4818647675982857
GATA2,SPI1,1.0,3.192810585510937
TP53,VCAN,1.0,2.47919898822061
STAT1,KLF4,1.0,2.4247461280714377
YBX1,COL1A2,-1.0,3.4818647675982857
E2F4,STMN1,1.0,-4.991074712707497
SP1,TBXA2R,1.0,-2.445585789452077
SPI1,TBXA2R,1.0,-2.445585789452077
E2F2,PCNA,-1.0,-4.844095724228697
E2F1,PCNA,1.0,-4.844095724228697
NFKB1,TNFRSF11A,1.0,3.243721648061006
SP1,SLC5A5,1.0,-2.017936939760036
HIF1A,TNF,1.0,2.941879845906474
SP1,HGF,1.0,-2.7741340955428404
ESR1,CBFB,1.0,3.4784808830680514
TP53,MGMT,-1.0,-4.430154740631117
TP53,PPM1A,1.0,-3.536926134822285
FOS,INS,1.0,-3.1429458172706743
MYB,ATP9B,1.0,-5.271926726250817
AR,CYP11A1,1.0,-2.567637075579284
CEBPB,NCAM1,1.0,-2.582276686210248
HIF1A,CREBBP,1.0,-2.7490730345206087
MEF2A,MAPK7,1.0,-2.521441339087685
SPI1,RB1,1.0,-3.3596036438931587
TP53,BRCA2,-1.0,-7.856314313489825
TP53,THBS1,1.0,3.6668201069002913
TP53,APOE,1.0,-2.3413392923672265
