,activity,pval
NR2E3,-0.49654044876655157,0.812207818031311
TSHZ3,-0.506179506285565,0.8064911961555481
PIN1,-0.5093058130241396,0.8051964640617371
HSF4,-0.509580949968802,0.8051964640617371
SOX4,-0.5207870801892652,0.802562415599823
TBXT,-0.5214567356706027,0.802562415599823
ATF3,-0.5262209730883524,0.8023410439491272
FOSL2,-0.5340340370825996,0.7982951402664185
ZNF384,-0.5361736538707086,0.7979166507720947
TBX20,-0.5362638857219229,0.7979166507720947
ELK3,-0.5401709238713538,0.7974250316619873
MNT,-0.5418414932778362,0.7974250316619873
CREB3,-0.542235154445555,0.7974250316619873
NEUROG2,-0.545949112114606,0.7968991994857788
ABL1,-0.5472710448277314,0.7968991994857788
POU4F1,-0.5489298691093896,0.7968991994857788
TWIST2,-0.5726890740856548,0.7800257205963135
NANOG,-0.5897793563872334,0.7673497796058655
HOXB1,-0.5956613632523731,0.7634938955307007
TWIST1,-0.6110774788009162,0.7540003061294556
NR3C2,-0.6148771752178654,0.7520732283592224
TBX18,-0.6188909058734735,0.7499488592147827
KDM5C,-0.6189070994354277,0.7499488592147827
CUX1,-0.6272620021379206,0.7476086020469666
XBP1,-0.6298944230906299,0.7476086020469666
PRDM16,-0.6392646630003488,0.746981143951416
NFIB,-0.6429696429670302,0.7451402544975281
PGR,-0.6708722930237581,0.7272636890411377
MYBL1,-0.6869958870922235,0.7155836224555969
BMAL2,-0.6899804566255751,0.7155836224555969
HIVEP1,-0.6918834225979476,0.7155836224555969
PBX2,-0.692426781545737,0.7155836224555969
BHLHE40,-0.6924837085647219,0.7155836224555969
EGR3,-0.6995731253669428,0.7155836224555969
BMAL1,-0.732278576548736,0.6946647763252258
WT1,-0.7342873404224195,0.6946647763252258
HOXA11,-0.7377471189874915,0.6946647763252258
IKZF4,-0.7428088819950138,0.6926571726799011
POU4F2,-0.7431755143874162,0.6926571726799011
ETV2,-0.7436339808044546,0.6926571726799011
TBX6,-0.7506036166063822,0.6926571726799011
NR5A1,-0.7542885192116713,0.6916121244430542
HIC1,-0.7547762096739953,0.6916121244430542
KLF12,-0.7596540484033234,0.6898583769798279
BRD4,-0.7639591005773079,0.6874881982803345
MED1,-0.7694460448451954,0.6840332746505737
REST,-0.7774850257196639,0.6782447099685669
MEF2D,-0.7826751518978129,0.6764943599700928
STAT5B,-0.7855372148941447,0.6756203174591064
NOTCH1,-0.7858907955700172,0.6756203174591064
NCOR1,-0.7926591849694667,0.6722695827484131
HOXA1,-0.7950184034961458,0.6716962456703186
PROX1,-0.7965198366271247,0.6716962456703186
HOXB5,-0.8004820778425971,0.6698706150054932
GATA1,-0.8082748694338329,0.6675100326538086
TBP,-0.8102089164398575,0.6673344373703003
PITX3,-0.8166911776342811,0.6629909873008728
EBF3,-0.8185360625704263,0.6629909873008728
ATOH7,-0.8269837733422714,0.6615632772445679
NR2C2,-0.8292686252110458,0.661075234413147
MYRF,-0.8363910329762022,0.6561499238014221
DNMT1,-0.8405668953477314,0.6539314985275269
MAFA,-0.8419317481335585,0.6539314985275269
SP4,-0.8447876938965173,0.6532796621322632
PKNOX1,-0.8451375277188088,0.6532796621322632
KLF4,-0.8482152957717879,0.6532796621322632
NR2C1,-0.8523081103264923,0.6512247323989868
