,gene_name,log2FC_full,log2FC_reduced,qvalue_full,qvalue_reduced,sig_full,sig_reduced,same_direction
ENSDARG00000023157,cbln10,14.691792168800115,10.159861577530405,0.24088020376730276,2.2521554025788374e-05,False,True,True
ENSDARG00000074581,add2,-1.650337634227654,-1.4766455366669715,0.24088020376730276,0.0008838900993226768,False,True,True
ENSDARG00000010756,nod2,1.0183173257572178,1.0908420841189532,0.2433869893288101,0.0009031993499218233,False,True,True
ENSDARG00000063922,mt-nd6,-2.077970545673155,-1.7930184225669188,0.24399632234343135,2.0453056560899607e-06,False,True,True
ENSDARG00000036833,upp2,6.04012490702729,6.374606033583769,0.24436268574108,0.04396317544864897,False,True,True
ENSDARG00000074684,mlsl,1.3923127784102303,1.9844631523914829,0.245170667403954,0.002298686057333046,False,True,True
ENSDARG00000112540,cst14b.2,2.8696780848423056,3.2914232464116417,0.24601276572395006,0.04516779325389737,False,True,True
ENSDARG00000008931,renbp,1.5151014811333197,1.0309578223941678,0.24601276572395006,0.026498404801191464,False,True,True
ENSDARG00000063921,mt-nd5,-2.070247963600229,-1.8115245582091657,0.24601276572395006,1.9281513565824768e-06,False,True,True
ENSDARG00000075343,csf1a,1.8838481078501779,2.194529959888599,0.2468714078232536,0.03473810357155937,False,True,True
ENSDARG00000077337,si_ch211-171h4.5,2.3290428727843464,2.623030220360006,0.24916808618294453,0.02257158015397076,False,True,True
ENSDARG00000036456,anxa4,1.214006538605009,1.4612118590442411,0.251548165282251,6.8607992122051155e-06,False,True,True
ENSDARG00000105823,AL772146.2,-1.6754660383718822,-1.3463591779588546,0.2534883032473422,0.0069752353611707936,False,True,True
ENSDARG00000103199,si_dkey-247k7.2,-2.4958106426386273,-3.506404061578993,0.25444137111180964,0.027266288885514606,False,True,True
ENSDARG00000057706,si_ch211-137i24.10,1.8090211844062203,1.3629920121737527,0.25444137111180964,0.04668455574275943,False,True,True
ENSDARG00000099758,igf2bp2b,-1.8965602872479956,-1.7097979353796577,0.25482994040014884,0.04409425582523019,False,True,True
ENSDARG00000010591,foxn4,2.5597237692970802,3.102819875650041,0.25511642561979525,0.002415288114532542,False,True,True
ENSDARG00000028163,prg4b,2.7880765266067975,3.0566583433297687,0.2581281494000201,0.0007978802577928748,False,True,True
ENSDARG00000063917,mt-nd4,-2.0892217978015997,-1.7953608660845606,0.25907839603543986,2.7351248467746925e-06,False,True,True
ENSDARG00000071662,si_rp71-36a1.3,1.3147323048360005,1.7866562479995178,0.25907839603543986,0.009078981754220167,False,True,True
ENSDARG00000056541,nr0b1,1.9989944780699884,2.794670019718165,0.2595023399052523,0.0046655761862378735,False,True,True
ENSDARG00000007560,sema3bl,-1.8610583531541958,-1.5635608746926482,0.2595023399052523,0.0335586232185697,False,True,True
ENSDARG00000002609,rnf145a,1.743505774418216,2.0183241326922197,0.2595023399052523,0.025875026212431165,False,True,True
ENSDARG00000036670,aplnrb,-2.284886399335883,-2.0442150295159576,0.26590893748831185,2.0779074999665519e-10,False,True,True
ENSDARG00000091771,lysmd2,1.7940670433463846,2.5560670028727417,0.2670661604861541,0.013292934082150813,False,True,True
ENSDARG00000021184,rbfox1l,-1.906457131216599,-1.5348414785403057,0.26844338732360484,0.0021938369323956566,False,True,True
ENSDARG00000078309,fam83b,-2.397145519140959,-2.3511888079496015,0.26988616956080863,0.04447893908646195,False,True,True
ENSDARG00000087363,si_dkeyp-46h3.6,-3.7026708812364078,-5.583406993070982,0.27054109081478195,0.02072550720613624,False,True,True
ENSDARG00000031422,igfbp2b,1.9468106603299353,2.600907385946241,0.2716174952261637,0.03552967654630556,False,True,True
ENSDARG00000075664,si_ch1073-429i10.1,2.397120937831319,2.755427477790179,0.27170988434511323,0.03224265548910862,False,True,True
ENSDARG00000087176,rskra,-2.631467044458597,-2.8038012104618653,0.2732956531595546,0.04993853740357901,False,True,True
ENSDARG00000032126,scg5,2.7089403299284434,2.8848534188307173,0.2751538904351348,0.00567351977528194,False,True,True
